,,,,,,,,,,,,,,,
Age :,,year,,,,,,,,Formular,,,,,
Calculated weight:,,kg,,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,
Milrinone,Primacor 10 mg/10 mL,0.25,0.75,0,0,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL (100 mcg/mL),100-200 mcg/mL (Max 200 mcg/mL),"NSS, NSS/2, D5W",Fuhrman & Zimmerman 6th ed,,,Norepinephrine IV Infusion Preparation,,,
Isoproterenol,Isoprenaline 0.2 mg/mL,0.02,0.5 (Max 2),0,0 (Max 0),"ยา 10 mL (2 mg) ผสม D5W, NSS ให้ได้ปริมาตรสุดท้าย 500 mL (4 mcg/mL)",5-20 mcg/mL (Max 20 mcg/mL),"D5W, NSS",Fuhrman & Zimmerman 6th ed,,,"Ususal: ยา 1 vial ผสม D5W , D5S ให้ได้ปริมาตรสุดท้าย 62.5-1,000 mL",,,
,,,,,,,,,,,,Concentration,Preparation Method,,Volume
,,,,,,,,,,,,8 mcg/mL,"ผสมยา 2 mg (2 mL) ใน D5W, D5S 250 mL",,250 mL
,,,,,,,,,,,,16 mcg/mL,"ผสมยา 4 mg (4 mL) ใน D5W, D5S 250 mL",,250 mL
,,,,,,,,,,,,32 mcg/mL,"ผสมยา 8 mg (8 mL) ใน D5W, D5S 250 mL",,250 mL
Equipment,,,,,,,,,,,,,,,
Equipment Name/Item,Size (based on weight/age),Insertion Depth/Length,Reference,,,,,,,,,Dopamine IV Infusion Preparation,,,
ET Tube (Cuffed),4.75,14.5,Uptodate 2024,,,,,,,,,Concentration,Preparation Method,,Volume
ET Tube (Uncuffed),5.25,14.5,Uptodate 2024,,,,,,,,,1 mg/mL (1:1),ยา 100 mg (4 mL) + D5W หรือ NSS 96 mL,,100 mL
NG or OG tube,10.5,,,,,,,,,,,2 mg/mL (2:1),ยา 200 mg (8 mL) + D5W หรือ NSS 92 mL,,100 mL
Foley tube,10.5,,,,,,,,,,,,,,
Chest tube (max size),21,,,,,,,,,,,Dobutamine IV Infusion Preparation,,,
LMA,,,"ภาควิชาวิสัญญีวิทยา, คณะแพทยศาสตร์ศิริราชพยาบาล 2557",,,,,,,,,"ยา 1 vial ต่อสารน้ำ ดังนี้ D5W, NSS, LRS, D5S, D5S/2 ให้ได้ปริมาตรสุดท้าย 70-500 mL",,,
,,,,,,,,,,,,Concentration,Preparation Method,,Volume
,,,,,,,,,,,,1 mg/mL,ยา 1 vial (250 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL
,Equipment Checklist,,,,,,,,,,,2 mg/mL,ยา 2 vial (500 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL
,Equipment,Check,,,,,,,,,,4 mg/mL,ยา 4 vial (1000 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL
,ET Tube (Cuffed),FALSE,,,,,,,,,,,,,
,ET Tube (Uncuffed),FALSE,,,,,,,,,,Milrinone IV Infusion Preparation,,,
