,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,month,Formular,,Age Estimated Weight (kg),,,,,,,Formular,,,,,,,,,,,,,
Calculated weight (For age 1-11 month):,,kg,(Age in months + 9) / 2,,1-11 mos (age in months + 9) / 2,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,,,,,,,,,
Calculated weight (For age >= 1 year):,,kg,(Age x 2) + 8,,1-4 yrs (age in years + 5) x 2,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,,,,,,,,,
,,,,,5-14 yrs Age in years x 4,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manula Calculator,,,,,,,,,,,,,
Normal V/S rang by Age,SBP (mmHg),MAP (mmHg),Heart rate (bpm),Respi Rate (RR),,,,,,,,Weight,,kg,,,,,,,,,,,
,,,,,,,,,,,,Drug ,,mg,,,,,,,,,,,
,,,,,,,,,,,,Solution,,ml,,,,,,,,,,,
Drug,Preparation,Initial range (mcg/kg/min),High Dose (mcg/kg/min),innitial rate (ml/hr),High rate (ml/hr),How to prepare,Usual Concentration (Max),สารน้ำที่แนะนำ,Reference,,,2 mg/mL (2:1),ยา 200 mg (8 mL) + D5W หรือ NSS 92 mL,,100 mL,,,,,,,,,,
Epinephrine (Inotropic),1 mg/mL (1:1000),0.05,0.5,0,0,"ผสมยา 1 mg (1 mL) ใน NSS, D5W 100 mL (10 mcg/mL)",1-64 mcg/mL (64 mcg/ml),"D5W, D10W, D5S, D10S, D10S/2, D5S/2, 0.45%NSS, NSS, SWFI, LRS",Fuhrman & Zimmerman 6th ed,,,,,,,,,,,,,,,,
Epinephrine (Pressor),1 mg/mL (1:1000),0.1,1,0,0,"ผสมยา 1 mg (1 mL) ใน NSS, D5W 100 mL (10 mcg/mL)",1-64 mcg/mL (64 mcg/ml),"D5W, D10W, D5S, D10S, D10S/2, D5S/2, 0.45%NSS, NSS, SWFI, LRS",Fuhrman & Zimmerman 6th ed,,,Dobutamine IV Infusion Preparation,,,,,,,,,,,,,
Norepinephrine (Hypotension/ Shock),4 mg/4 mL (1 mg/mL),0.05 - 0.1,2,0 - 0,0,ยา 1 vial (4 mg) ผสม D5W หรือ D5S 250 mL (16 mcg/mL),8-16 mcg/mL (Max 16 mcg/mL),"D5W, D5S (ห้ามผสม NSS เดี่ยว)",Fuhrman & Zimmerman 6th ed,,,"ยา 1 vial ต่อสารน้ำ ดังนี้ D5W, NSS, LRS, D5S, D5S/2 ให้ได้ปริมาตรสุดท้าย 70-500 mL",,,,,,,,,,,,,
Dopamine (Inotropic),250 mg/10 mL,2,20,0,0,ยา 200 mg (8 mL) + D5W หรือ NSS 92 mL (2:1) (2 mg/mL),1.6-3.2 mg/mL (Max 3.2 mg/mL),"NSS, D5W, D5S, D5S/2, LR, 5% Dextrose in LRS",Fuhrman & Zimmerman 6th ed,,,Concentration,Preparation Method,,Volume,,,,,,,,,,
Dopamine (Pressor),250 mg/10 mL,>20,30,0,0,ยา 200 mg (8 mL) + D5W หรือ NSS 92 mL (2:1) (2 mg/mL),1.6-3.2 mg/mL (Max 3.2 mg/mL),"NSS, D5W, D5S, D5S/2, LR, 5% Dextrose in LRS",Fuhrman & Zimmerman 6th ed,,,1 mg/mL,ยา 1 vial (250 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL,,,,,,,,,,
Dobutamine,250 mg/20 mL,2,20,0,0,ยา 1 vial (250 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL (1000 mcg/mL),1-4 mg/mL (Max 4 mg/mL),"D5W, NSS, LRS, D5S, D5S/2",Fuhrman & Zimmerman 6th ed,,,2 mg/mL,ยา 2 vial (500 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL,,,,,,,,,,
Milrinone,Primacor 10 mg/10 mL,0.25,0.75,0,0,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL (100 mcg/mL),100-200 mcg/mL (Max 200 mcg/mL),"NSS, NSS/2, D5W",Fuhrman & Zimmerman 6th ed,,,4 mg/mL,ยา 4 vial (1000 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 250 mL,,250 mL,,,,,,,,,,
Isoproterenol,Isoprenaline 0.2 mg/mL,0.02,0.5 (Max 2),0,0 (Max 0),"ยา 10 mL (2 mg) ผสม D5W, NSS ให้ได้ปริมาตรสุดท้าย 500 mL (4 mcg/mL)",5-20 mcg/mL (Max 20 mcg/mL),"D5W, NSS",Fuhrman & Zimmerman 6th ed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Milrinone IV Infusion Preparation,,,,,,,,,,,,,
