,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,,year,,,,,,,,,,,1.หากรู้น้ำหนัก กรอก น้ำหนักในช่อง Weight ได้เลย,,,,Fluid,Volume,,,Self calculator,,,,,
Calculated weight:,,8,kg,Calculated weight formula: (Age x 2) + 8,,,,,,,,,,2. หากไม่ทราบน้ำหนัก กรอก อายุ ในช่อง Age แล้วนำ Calculated weight ไปกรอกในช่อง weight ,,,,0-10,1000.0,,,Dose,,mg/kg,BW,,kg
Cefixime,PO,8,,MKDay,160,,mg/day,Adult Dose,457 mg / 5 ml,0.9,,0.9,ml/dose,PO bid,,,,,,,,,,,,,
Oseltamivir อายุน้อยกว่ากว่า 1 ปี,PO,อายุ 0-1 mo Pre-term,1,MKDose,20,,mg/dose,75 mg/dose,250 mg / 5 ml,0.4,,0.4,ml/dose,PO bid for 5 days,Thai URI PED 2019,,,,,,,,,,,,
,,อายุ 0-1 mo Term,3,MKDose,60,,mg/dose,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
,,อายุ 0-8 mo,3,MKDose,60,,mg/dose,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
,,อายุ 9-11 mo,3.5,MKDose,70,,mg/dose,,,1.4,,1.4,ml/dose,,,,,,,,,,,,,,
,,อายุ 12 mo,3,MKDose,60,,mg/dose,,,1.2,,1.2,ml/dose,,,,,,,,,,,,,,
Oseltamivir อายุมากกว่า 1 ปี,PO,30,75,Mg/dose,45,,mg/dose,75 mg/dose,250 mg / 5 ml,0.9,,0.9,ml/dose,,,,,,,,,,,,,,
IV Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceftriaxone,IV,75,,MKDay,1500,,mg/day,2000 mg/dose,-,-,,1500,mg/dose,IV OD,Thai AFI PED 2019,,,,,,,,,,,,
Cefotaxime,IV,100,,MKDay,2000,,mg/day,Adult Dose,-,-,,667,mg/dose,IV q 8 hr,Thai URI PED 2019,,,,,,,,,,,,
Ampicillin,IV,150,,MKDay,3000,,mg/day,2000 mg/dose,-,-,,750,mg/dose,IV q 6 hr,Thai URI PED 2019,,,,,,,,,,,,
Gentamicin,IV,5,,MKDay,100,,mg/day,Adult Dose,-,-,,100,mg/dose,IV OD,,,,,,,,,,,,,
Neuro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diazepam,IV,0.2 - 0.3,,MKDose,4 - 6,,mg/dose,10 mg/dose,-,-,,4 - 6,mg/dose,IV stat (rate < 2 mg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,Rectal,0.5,,MKDose,10,,mg/dose,10 mg/dose,-,-,,10,mg/dose,Rectal,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Midazolam,IM,0.2,,mg/dose,0.2,,mg/dose,10 mg/dose,5 mg / 1 ml,-,,0.2,mg/dose,IM,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,IV,0.1 - 0.2,,MKDose,2 - 4,,mg/dose,2 mg/kg/dose,5 mg / 1 ml,-,,2 - 4,mg/dose,IV,,,,,,,,,,,,,
,IN,0.2,,MKDose,4,,mg/dose,10 mg/dose,5 mg / 1 ml,-,,4,mg/dose,IN,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
,Buccal,0.5,,MKDose,10,,mg/dose,10 mg/dose,5 mg / 1 ml,-,,10,mg/dose,Buccal,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Lorazepam,IV,0.1,,MKDose,2,,mg/dose,Adult Dose,-,-,,2,mg/dose,IV stat ,,,,,,,,,,,,,
Phenytoin,IV,20,,MKDose,400,,mg/dose,1500  mg/dose,-,-,,400,mg/dose,IV (rate < 1 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Phenobarbital,IV,20,,MKDose,400,,mg/dose,1000  mg/dose,-,-,,400,mg/dose,IV (rate < 2 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Sodium Valproate,IV,40,,MKDose,800,,mg/dose,3000  mg/dose,-,-,,800,mg/dose,IV (rate < 1-3 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Levetiracetam,IV,20 - 60,,MKDose,400 - 1200,,mg/dose,4000  mg/dose,-,-,,400 - 1200,mg/dose,IV (infusion > 15 min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Lacosamide,IV,10,,MKDose,200,,mg/dose,400  mg/dose,-,-,,200,mg/dose,IV,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Propofol,IV,1,,MKDose,20,,mg/dose,Adult Dose,-,-,,20,mg/dose,IV (rate < 0.05 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Thiopental,IV,1,,MKDose,20,,mg/dose,Adult Dose,-,-,,20,mg/dose,IV (rate < 0.05 mg/kg/min),Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
Ketamine,IV,0.5,,MKDose,10,,mg/dose,Adult Dose,-,-,,10,mg/dose,IV,Thai Epilepsy Guidelines 2021,,,,,,,,,,,,
