Gender,Male,,,,,,,,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,
Milrinone,Primacor 10 mg/10 mL,0.375,0.75,0,0,?? 10 mg (10 mL) ????????????????????????????? 100 mL (100 mcg/mL),100-200 mcg/mL (Max 200 mcg/mL),"NSS, NSS/2, D5W",AHA 2025 and CMU Phamabot,,Milrinone IV Infusion Preparation,,,
Isoproterenol (mcg/min),Isoprenaline 0.2 mg/mL,2,10 (Max 30),30,150 (Max 450),"?? 10 mL (2 mg) ??? D5W, NSS ???????????????????? 500 mL (4 mcg/mL)",2-16 mcg/mL (Max 20 mcg/mL),"D5W, NSS",AHA 2025 and CMU Phamabot,,"Loading: ?????????????? ????????????????? ??????? ??????????? NSS, NSS/2, D5W ???????????????????? 10-20 mL",,,
Anti-hypetensive Drug,,,,,,,,,,,"Maintenance: ???????????? NSS, NSS/2, D5W' ?????? ??????????? (final conc.) = 100 , 150 ???? 200 mcg/mL",,,
NTG,50 mg/10 ml,5 mcg/min,200 mcg/min,0.75,30,NTG 50 mg + NSS 115 ml IV,,,AHA HT 2025,,Concentration,Preparation Method,,Volume
Nicardipine,"10 mg/10 mL, 2 mg/2 mL",5 mg/hr,15 mg/hr,25,75,Nicadipine 20 mg + NSS up to 100 ml,,,AHA HT 2025,,100 mcg/mL,?? 10 mg (10 mL) ????????????????????????????? 100 mL,,100 mL
Labetarol,100 mg/ 20 ml (1 vial),0.5 mg/min,2 mg/min,15,60,Labetalol 200 mg (40 ml) + NSS 60 ml,,"NSS, D5W, LRS",2019 AHA ischemic stroke,,150 mcg/mL,?? 15 mg (15 mL) ????????????????????????????? 100 mL,,100 mL
Esmolol,,50 µg/kg/min,300 µg/kg/min,,,bolus of 500 µg/kg administered over 1 minute,,,ESC AF 2024,,200 mcg/mL,?? 10 mg (10 mL) ????????????????????????????? 50 mL,,50 mL
Anti-Arrhythmic Drug,,,,,,,,,,,,,,
Lidocain,2%w/v 10 mL (200 mg/10 mL),1 mg/min,4 mg/min,15,60,Lidocaine 2% 1000 mg (50 ml) + NSS or D5W upto 250 ml (4 mg/ml),4 - 8 mg/mL,,AHA HT 2025,,Isoproterenol IV Infusion Preparation,,,
Diltiazam,10 mg,5 mg/hr,15 mg/hr,5,15,"bolus of 0.25 mg/kg administered over 5 minutes then Diltiazem 100 mg + NSS 100 ml IV (?????? NSS, D5W 25 - 50 mL/ 1 ampule)",,,ESC AF 2024,,"?? 10 mL (2 mg) ?? D5W, NSS 500 mL (Final concentration 4 mcg/mL)",,,
Amiodalone,150 mg/3 ml,"150-300 mg i.v. diluted in 250 mL of 5% dextrose IV over 30–60 minutes, Followed by 900–1200 mg i.v. over 24 hours diluted in 500–1000 mL",,-,-,,,,ESC AF 2024,,Concentration,Preparation Method,,Volume
Anti-dote,,,,,,,,,,,4 mcg/mL,?? 10 mL (2 mg) ????????????????????????????? 500 mL,,500 mL
Naloxone,0.4 mg/ml,,,,,,,,,,20 mcg/mL,?? 10 mL (2 mg) ????????????????????????????? 100 mL,,100 mL
Atropine,0.6 mg/ml,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sedation Drug,,,,,,,,,,,,,,
Drug,Preparation,Loading Dose,Maintenance Dose,Loading (mg),Maintenance (ml/hr),How to prepare,Adverse Effects,Reference,,,,,,
Midazolam,"5 mg/ml, 15 mg/ 3 ml",0.01 - 0.05 mg/kg (0 - 0 mg),0.02 - 0.1 mg/kg/hr (0 - 0 mg/hr),0 - 0,0 - 0,"Midazolam 50 mg + NSS up to 100 ml (Final concentration 0.5 mg/ml, Max 5 mg/ml)","Respiratory depression, hypotension",PADIS guideline,,,,,,
Lorazepam,,0.02 - 0.04 mg/kg (max 2 mg) (0 - 0 mg),0.02 - 0.06 mg/kg q2-6h PRN OR 0.01 - 0.1 mg/kg/hr (max 10 mg/hr),0 - 0,,,"Respiratory depression, hypotension; propylene glycol-related acidosis, nephrotoxicity",PADIS guideline,,,,,,
Diazepam,,5 - 10 mg (fixed dose),0.03 - 0.1 mg/kg q0.5-6h PRN (0 - 0 mg),5 - 10,,,"Respiratory depression, hypotension, phlebitis",PADIS guideline,,,,,,
Propofol,200 mg/ 20 ml,5 mcg/kg/min over 5 min,5 - 50 mcg/kg/min,0,0 - 0,Propofol 200 mg / 20 ml (??????) ,"Pain on injection, hypotension, respiratory depression, hypertriglyceridemia, pancreatitis, allergic reactions, propofol-related infusion syndrome",PADIS guideline,,,,,,
Dexmedetomidine,,1 mcg/kg over 10 min (0 mcg),0.2 - 0.7 mcg/kg/hr (0 - 0 mcg/hr),0,,,"Bradycardia, hypotension; hypertension with loading dose; loss of airway reflexes",PADIS guideline,,,,,,
,,,,,,,,,,,,,,
Anti-epileptic Drug,,,,,,,,,,,,,,
Drug,Phase,Recommend Dose,Unit,Calculated Dose,Max Dose,How to prepare / Route,Reference,,,,,,,
Diazepam (10 mg/ 2 ml),Loading,0.3,mg/kg,4.5,10 mg,10 mg/2mL/vial (Do not dilute) / IV (rate <2 mg/min),CPG Epilepsy 2021,,,,,,,
Midazolam (5 mg/ 1 ml),Loading (Bolus),0.2,mg/kg,,10 mg,IM or IV,CPG Epilepsy 2021,,,,,,,
,Loading (start drip),0.1 - 0.3,mg/kg,1.5 - 4.5,10 mg,5 mg/1 ml/vial mix in 0.9%NSS or 5%DW / IV (rate <4 mg/min),,,,,,,,
,Maintenance,0.05 - 0.4,mg/kg/hr,0.75 - 6,NA,5 mg/1 ml/vial mix in 0.9%NSS or 5%DW,,,,,,,,
Phenytoin (250 mg/ 5 ml),Loading,20 - 30,mg/kg,300 - 450,1500 mg,250 mg/5ml/vial mix in 0.9%NSS only / IV (rate <50 mg/min),CPG Epilepsy 2021,,,,,,,
,Maintenance,5 - 8,mg/kg/day div q8h,75 - 120,NA,250 mg/5ml/vial mix in 0.9%NSS only,,,,,,,,
Phenobarbital (200 mg/ 1 ml),Maintenance,300 - 500,mg/day div q8h,300 - 500,1000 mg,"200 mg/1mL/vial mix in Sterile water 10 ml then NSS, RL, 5%DW",CPG Epilepsy 2021,,,,,,,
Sodium Valproate (400 mg/ 4 ml),Loading,20 - 30,mg/kg,300 - 450,NA,400 mg/4ml/vial mix in 0.9%NSS or 5%D/W / IV (rate <100 mg/min),CPG Epilepsy 2021,,,,,,,
,Maintenance,1 - 2,mg/kg/hr,15 - 30,NA,400 mg/4ml/vial mix in 0.9%NSS or 5%D/W,,,,,,,,
